 Fwd Packet Length Mean, Fwd Packet Length Max, Avg Fwd Segment Size, Subflow Fwd Bytes,Total Length of Fwd Packets, Flow IAT Max, Average Packet Size, Bwd Packet Length Std, Flow Duration, Avg Bwd Segment Size, Bwd Packets/s, Packet Length Mean,Init_Win_bytes_forward, Init_Win_bytes_backward, Packet Length Std, Fwd IAT Max, Fwd Packet Length Std, Packet Length Variance, Total Length of Bwd Packets, Flow Packets/s,Label
184.4375,629,184.4375,5902,5902,0.6004459857940674,184.4375,0.0,2.0238308906555176,0.0,0.0,184.4375,2048,0,170.6881179044107,0.6004459857940674,170.6881179044107,29134.43359375,0,15.811597771212604,normal
144.25,528,144.25,1154,1154,0.0052411556243896484,144.25,0.0,0.00994420051574707,0.0,0.0,144.25,65535,0,152.23481040813235,0.0052411556243896484,152.23481040813235,23175.4375,0,804.4890071687166,normal
66,66,66,132,132,0.00032591819763183594,66,0.0,0.00032591819763183594,0.0,0.0,66,65,0,0.0,0.00032591819763183594,0.0,0,0,6136.509144111193,normal
95.3,212,95.3,953,953,0.005872011184692383,95.3,0.0,0.016176939010620117,0.0,0.0,95.3,65535,0,53.91484025757658,0.005872011184692383,53.91484025757658,2906.81,0,618.1639179967871,normal
169.27777777777777,530,169.27777777777777,3047,3047,0.018093109130859375,169.27777777777777,0.0,0.09795999526977539,0.0,0.0,169.27777777777777,2585,0,145.37912335054452,0.018093109130859375,145.37912335054452,21135.08950617284,0,183.7484776354795,normal
102.5,258,102.5,1025,1025,0.005056858062744141,102.5,0.0,0.0150909423828125,0.0,0.0,102.5,65535,0,68.67204671480238,0.005056858062744141,68.67204671480238,4715.85,0,662.649140546006,normal
183.31034482758622,629,183.31034482758622,5316,5316,0.8883111476898193,183.31034482758622,0.0,2.0368220806121826,0.0,0.0,183.31034482758622,2048,0,176.73964944541444,0.8883111476898193,176.73964944541444,31236.90368608799,0,14.237866073841769,normal
89,102,89,267,267,0.02735304832458496,89,0.0,0.027428150177001953,0.0,0.0,89,2048,0,16.30950643030009,0.02735304832458496,16.30950643030009,266,0,109.37667982128266,normal
89,102,89,267,267,0.01984381675720215,89,0.0,0.019927024841308594,0.0,0.0,89,2048,0,16.30950643030009,0.01984381675720215,16.30950643030009,266,0,150.54931801866476,normal
89,102,89,267,267,0.022211790084838867,89,0.0,0.02232193946838379,0.0,0.0,89,2048,0,16.30950643030009,0.022211790084838867,16.30950643030009,266,0,134.39692389853138,normal
60,66,60,120,120,0.01760387420654297,60,0.0,0.01760387420654297,0.0,0.0,60,2048,0,6.0,0.01760387420654297,6.0,36,0,113.61135489463135,normal
159.8695652173913,530,159.8695652173913,3677,3677,0.8881089687347412,159.8695652173913,0.0,1.1781718730926514,0.0,0.0,159.8695652173913,2585,0,143.26512496154027,0.8881089687347412,143.26512496154027,20524.896030245745,0,19.521769722465002,normal
1122,1440,1122,19074,19074,0.0015711784362792969,1122,0.0,0.0037271976470947266,0.0,0.0,1122,142,0,573.5942406799221,0.0015711784362792969,573.5942406799221,329010.35294117645,0,4561.067485447451,normal
164.5,530,164.5,3290,3290,0.8532369136810303,164.5,0.0,1.3160161972045898,0.0,0.0,164.5,2048,0,151.7259041825093,0.8532369136810303,151.7259041825093,23020.75,0,15.197381341113365,normal
60,60,60,60,60,0.0,60,0.0,1e-09,0.0,0.0,60,0,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
1082.578947368421,1440,1082.578947368421,20569,20569,1.8413059711456299,1082.578947368421,0.0,1.8437740802764893,0.0,0.0,1082.578947368421,142,0,598.2994599423545,1.8413059711456299,598.2994599423545,357962.243767313,0,10.30495015807511,normal
1147.9117647058824,1440,1147.9117647058824,39029,39029,0.18405795097351074,1147.9117647058824,0.0,0.18952322006225586,0.0,0.0,1147.9117647058824,142,0,548.7782348436044,0.18405795097351074,548.7782348436044,301157.55103806226,0,179.39754289121646,normal
281.6666666666667,530,281.6666666666667,1690,1690,0.02130603790283203,281.6666666666667,0.0,0.056398868560791016,0.0,0.0,281.6666666666667,2048,0,218.12661970108604,0.02130603790283203,218.12661970108604,47579.22222222222,0,106.38511291290783,normal
960.2941176470588,1440,960.2941176470588,16325,16325,0.0010259151458740234,960.2941176470588,0.0,0.0015740394592285156,0.0,0.0,960.2941176470588,2027,0,649.8236651952211,0.0010259151458740234,649.8236651952211,422270.79584775085,0,10800.237503786731,normal
172.17391304347825,530,172.17391304347825,3960,3960,0.8923079967498779,172.17391304347825,0.0,2.1308460235595703,0.0,0.0,172.17391304347825,2585,0,145.1846357226049,0.8923079967498779,145.1846357226049,21078.578449905483,0,10.793834817580384,normal
171.42105263157896,530,171.42105263157896,3257,3257,0.8883368968963623,171.42105263157896,0.0,1.324855089187622,0.0,0.0,171.42105263157896,2585,0,153.76547959370282,0.8883368968963623,153.76547959370282,23643.82271468144,0,14.341191089548117,normal
72.75,105,72.75,291,291,14.958194017410278,72.75,0.0,15.044788122177124,0.0,0.0,72.75,2048,0,19.253246479490155,14.958194017410278,19.253246479490155,370.6875,0,0.2658728037587785,normal
79.5,95,79.5,318,318,0.010828018188476562,79.5,0.0,0.012574911117553711,0.0,0.0,79.5,9,0,13.573871960498227,0.010828018188476562,13.573871960498227,184.25,0,318.0936996378666,normal
89,102,89,267,267,0.026944875717163086,89,0.0,0.0271759033203125,0.0,0.0,89,2048,0,16.30950643030009,0.026944875717163086,16.30950643030009,266,0,110.39191465468838,normal
89,102,89,267,267,0.022571086883544922,89,0.0,0.0228271484375,0.0,0.0,89,2048,0,16.30950643030009,0.022571086883544922,16.30950643030009,266,0,131.42245989304814,normal
89,102,89,267,267,0.02205801010131836,89,0.0,0.022273778915405273,0.0,0.0,89,2048,0,16.30950643030009,0.02205801010131836,16.30950643030009,266,0,134.68751806300375,normal
54,54,54,54,54,0.0,54,0.0,1e-09,0.0,0.0,54,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
