 Fwd Packet Length Mean, Fwd Packet Length Max, Avg Fwd Segment Size, Subflow Fwd Bytes,Total Length of Fwd Packets, Flow IAT Max, Average Packet Size, Bwd Packet Length Std, Flow Duration, Avg Bwd Segment Size, Bwd Packets/s, Packet Length Mean,Init_Win_bytes_forward, Init_Win_bytes_backward, Packet Length Std, Fwd IAT Max, Fwd Packet Length Std, Packet Length Variance, Total Length of Bwd Packets, Flow Packets/s,Label
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
60,60,60,60,60,0,60,0,1e-09,0,0,60,1024,0,0,0,0,0,0,999999999.9999999,port scanning
